No;full_text;username;tweet_normalized;skor_total;skor_positif;skor_negatif;n_match;n_total;kata_match;sentimen
11;program makan siang dan susu gratis untuk murid indonesia keren banget ini pak tweet makanan dan minuman bergizi utk penerus bangsa adalah investasi terbesar justru program ini dapat dirasakan langsung oleh rakyat tagar adalah bentuk kepanikan;Aryolejandro;['program', 'makan', 'siang', 'susu', 'gratis', 'siswa', 'indonesia', 'keren', 'sekali', 'tweet', 'makanan', 'minuman', 'bergizi', 'penerus', 'bangsa', 'investasi', 'terbesar', 'program', 'dirasakan', 'langsung', 'rakyat', 'tagar', 'bentuk', 'kepanikan'];6.0;18.0;-12.0;10;24;[('makan', 1.0), ('susu', -4.0), ('gratis', 4.0), ('siswa', 3.0), ('sekali', -1.0), ('makanan', 3.0), ('langsung', 3.0), ('tagar', -3.0), ('bentuk', 4.0), ('kepanikan', -4.0)];Positif
12;pak prabowo sangat support banget untuk anak bangsa indonesia oleh karna itu adanya program makan siang bergizi gratis ini menjadikan indonesia unggul dan kuat anakanak bangsa;harooaira;['prabowo', 'dukung', 'sekali', 'anak', 'bangsa', 'indonesia', 'karena', 'program', 'makan', 'siang', 'bergizi', 'gratis', 'menjadikan', 'indonesia', 'unggul', 'kuat', 'anakanak', 'bangsa'];-1.0;9.0;-10.0;7;18;[('dukung', 4.0), ('sekali', -1.0), ('anak', -3.0), ('karena', -3.0), ('makan', 1.0), ('gratis', 4.0), ('kuat', -3.0)];Negatif
13;waduh kok ini sudah jalan ya program makan siang gratis dgn lauk pauk yg sangat bergizi di tangerang ini pasti terinspirasi dari yg punya program makan siang gratis nih;bumnbersatu;['jalan', 'program', 'makan', 'siang', 'gratis', 'lauk', 'pauk', 'bergizi', 'tangerang', 'terinspirasi', 'program', 'makan', 'siang', 'gratis'];10.0;10.0;0.0;4;14;[('makan', 1.0), ('gratis', 4.0), ('makan', 1.0), ('gratis', 4.0)];Positif
14;padahal yg diuntungkan nanti dr makan siang dan susu gratis adlh pihak ketiga perusahaan pengadaan ya ga sih syukur dapat makanan bergizi kawatirnya kayak program stunting di dpok anak dibagikan kuah sop parahnya kuahnya doang ga ada dagingnya;rinigrace;['diuntungkan', 'dari', 'makan', 'siang', 'susu', 'gratis', 'adalah', 'ketiga', 'perusahaan', 'pengadaan', 'syukur', 'makanan', 'bergizi', 'kawatirnya', 'seperti', 'program', 'stunting', 'dpok', 'anak', 'dibagikan', 'kuah', 'sop', 'parahnya', 'kuahnya', 'doang', 'dagingnya'];6.0;17.0;-11.0;10;26;[('dari', -3.0), ('makan', 1.0), ('susu', -4.0), ('gratis', 4.0), ('perusahaan', 3.0), ('syukur', 5.0), ('makanan', 3.0), ('seperti', -1.0), ('anak', -3.0), ('doang', 1.0)];Positif
15;makan siang gratis sbv program pemerintah yg menawarkan nutrisi memainkan peran penting dlm membantu anak yg mungkin mengalami kekurangan gizi namunutk benar menekan stunting program ini perlu dikombinasikan dg upaya yg lebih luas dlm menyediakan akses ke makanan bergizi;Adrian_susiloo;['makan', 'siang', 'gratis', 'sbv', 'program', 'pemerintah', 'menawarkan', 'nutrisi', 'memainkan', 'peran', 'dalam', 'membantu', 'anak', 'mengalami', 'kekurangan', 'gizi', 'namunutk', 'menekan', 'stunting', 'program', 'dikombinasikan', 'upaya', 'luas', 'dalam', 'menyediakan', 'akses', 'makanan', 'bergizi'];15.0;28.0;-13.0;14;28;[('makan', 1.0), ('gratis', 4.0), ('dalam', 3.0), ('membantu', 4.0), ('anak', -3.0), ('mengalami', 3.0), ('kekurangan', -3.0), ('menekan', -3.0), ('upaya', -4.0), ('luas', 3.0), ('dalam', 3.0), ('menyediakan', 2.0), ('akses', 2.0), ('makanan', 3.0)];Positif
16; program makan gratis kan kusus tuk anak sd bukan buat yg udah tua kek luanak itu perlu makan bergizi dimasa pertumbuhan;DewiPutriku06;['program', 'makan', 'gratis', 'kusus', 'tuk', 'anak', 'sd', 'sudah', 'tua', 'seperti', 'luanak', 'makan', 'bergizi', 'dimasa', 'pertumbuhan'];1.0;9.0;-8.0;7;15;[('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('sudah', 3.0), ('tua', -4.0), ('seperti', -1.0), ('makan', 1.0)];Positif
17;tkd prabowogibran banten turun langsung laksanakan program makan siang bergizi dan susu gratis;Kabarpolitikcom;['tkd', 'prabowogibran', 'banten', 'turun', 'langsung', 'laksanakan', 'program', 'makan', 'siang', 'bergizi', 'susu', 'gratis'];1.0;8.0;-7.0;5;12;[('turun', -3.0), ('langsung', 3.0), ('makan', 1.0), ('susu', -4.0), ('gratis', 4.0)];Positif
18;program makan siang dan susu gratis bagi siswa dan ibu hamil semoga makanan nya bergizi;fridanurisya;['program', 'makan', 'siang', 'susu', 'gratis', 'siswa', 'hamil', 'semoga', 'makanan', 'bergizi'];2.0;11.0;-9.0;6;10;[('makan', 1.0), ('susu', -4.0), ('gratis', 4.0), ('siswa', 3.0), ('hamil', -5.0), ('makanan', 3.0)];Positif
19;prabowo mengungkapkan program pemberian susu dan telor atau makanan bergizi tersebut sebagai upaya mengatasi masalah stunting dan angka kemiskinan dari akar masalahnya;agejncy;['prabowo', 'program', 'pemberian', 'susu', 'telor', 'makanan', 'bergizi', 'upaya', 'mengatasi', 'stunting', 'angka', 'kemiskinan', 'akar'];-11.0;3.0;-14.0;5;13;[('pemberian', -3.0), ('susu', -4.0), ('makanan', 3.0), ('upaya', -4.0), ('akar', -3.0)];Negatif
20;yakin semua mampu kasih makanan bergizi tinggi tiap hari agar anak kesehatan dan kecerdasannya top abis ntar pakai ahli gizi lho di program makan siang gratis tak asal kenyang tapi sehat cerdas ini baru program riil ini baru satu;BANGSAygSUJUD;['kasih', 'makanan', 'bergizi', 'anak', 'kesehatan', 'kecerdasannya', 'top', 'habis', 'nanti', 'pakai', 'ahli', 'gizi', 'lho', 'program', 'makan', 'siang', 'gratis', 'kenyang', 'sehat', 'cerdas', 'program', 'riil'];24.0;29.0;-5.0;11;22;[('kasih', 2.0), ('makanan', 3.0), ('anak', -3.0), ('top', 5.0), ('habis', 3.0), ('nanti', -2.0), ('makan', 1.0), ('gratis', 4.0), ('kenyang', 3.0), ('sehat', 4.0), ('riil', 4.0)];Positif
21;maaf nih bkn mksd utk merendahkan program makan siangsusu gratis atasi stunting jika taraf hidup ekonomi para ortu meningkat spt pekerjaanupah yg layak sekolahampjamkes gratis rumah ga ngontrakmaka para orang tua dpt beri asupan makan bergizi pd anaknyato be continue;carlitovito180;['maaf', 'bkn', 'mksd', 'merendahkan', 'program', 'makan', 'siangsusu', 'gratis', 'atasi', 'stunting', 'taraf', 'hidup', 'ekonomi', 'orang tua', 'meningkat', 'seperti', 'pekerjaanupah', 'layak', 'sekolahampjamkes', 'gratis', 'rumah', 'ngontrakmaka', 'orang', 'tua', 'dapat', 'asupan', 'makan', 'bergizi', 'pada', 'anaknyato', 'be', 'continue'];-2.0;18.0;-20.0;13;32;[('maaf', -3.0), ('makan', 1.0), ('gratis', 4.0), ('taraf', 3.0), ('hidup', -4.0), ('seperti', -1.0), ('layak', -5.0), ('gratis', 4.0), ('rumah', 3.0), ('tua', -4.0), ('dapat', 2.0), ('makan', 1.0), ('pada', -3.0)];Negatif
22;program makan siang gratis sepertinya mengikuti prinsip kurangi potongan tingkatkan kreativitasnya juga nasi putih dan sosis memang tak tergantikan dalam menu bergizi rendah;AJavandalas;['program', 'makan', 'siang', 'gratis', 'mengikuti', 'prinsip', 'kurangi', 'potongan', 'tingkatkan', 'kreativitasnya', 'nasi', 'putih', 'sosis', 'tergantikan', 'menu', 'bergizi', 'rendah'];-1.0;10.0;-11.0;7;17;[('makan', 1.0), ('gratis', 4.0), ('mengikuti', 3.0), ('potongan', -2.0), ('nasi', 2.0), ('putih', -4.0), ('rendah', -5.0)];Negatif
23;joee anies back semoga dg program makan siang bergizi dan susu gratis tidak ada lagi orang bodoh lagi membodohkan;BANGSAygSUJUD;['joee', 'anies', 'kembali', 'semoga', 'program', 'makan', 'siang', 'bergizi', 'susu', 'gratis', 'orang', 'bodoh', 'membodohkan'];1.0;5.0;-4.0;3;13;[('makan', 1.0), ('susu', -4.0), ('gratis', 4.0)];Positif
24;tentu program makan siang gratis bagi siswa dengan makananmakanan bergizi prabowo subianto;mercifulove;['program', 'makan', 'siang', 'gratis', 'siswa', 'makananmakanan', 'bergizi', 'prabowo', 'subianto'];8.0;8.0;0.0;3;9;[('makan', 1.0), ('gratis', 4.0), ('siswa', 3.0)];Positif
25;id aku dukung program makan siang gratis dari prabowogibran biar anak indonesia terjamin dalam sehari dapet makanan bergizi;sassyyosie;['id', 'dukung', 'program', 'makan', 'siang', 'gratis', 'prabowogibran', 'anak', 'indonesia', 'terjamin', 'sehari', 'dapat', 'makanan', 'bergizi'];16.0;19.0;-3.0;7;14;[('dukung', 4.0), ('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('terjamin', 5.0), ('dapat', 2.0), ('makanan', 3.0)];Positif
26;program makan siang gratis dibedah dalam menit sama bang lagian yah makan gratis ini program yg absurd banget dan gak akan bisa dilaksanakan kalo tetep dipaksaain yg ada cm jd bahan bancakan doang alih anak dapet makanan bergizi yg ada bakalan dpt makanan basi;ariefrasyad;['program', 'makan', 'siang', 'gratis', 'dibedah', 'menit', 'kakak', 'makan', 'gratis', 'program', 'absurd', 'sekali', 'dilaksanakan', 'tetap', 'dipaksaain', 'cm', 'bahan', 'bancakan', 'doang', 'alih', 'anak', 'dapat', 'makanan', 'bergizi', 'dapat', 'makanan', 'basi'];15.0;27.0;-12.0;15;27;[('makan', 1.0), ('gratis', 4.0), ('makan', 1.0), ('gratis', 4.0), ('absurd', 3.0), ('sekali', -1.0), ('tetap', 3.0), ('bahan', -3.0), ('doang', 1.0), ('anak', -3.0), ('dapat', 2.0), ('makanan', 3.0), ('dapat', 2.0), ('makanan', 3.0), ('basi', -5.0)];Positif
27;program makan siang gratis dapat membantu mengurangi ketidaksetaraan sosial dengan memberikan akses yang sama terhadap makanan yang bergizi kepada mereka yang mungkin membutuhkan bantuan ekstra;05_maryanne;['program', 'makan', 'siang', 'gratis', 'membantu', 'mengurangi', 'ketidaksetaraan', 'sosial', 'akses', 'makanan', 'bergizi', 'membutuhkan', 'bantuan', 'ekstra'];21.0;21.0;0.0;7;14;[('makan', 1.0), ('gratis', 4.0), ('membantu', 4.0), ('sosial', 4.0), ('akses', 2.0), ('makanan', 3.0), ('ekstra', 3.0)];Positif
28;jujur program makan siang gratis ini gue setuju bgt sih terutama buat anak sd yg butuh makanan sehat bergizi ya karna ga semua anak dibekelin makan banyaknya yg dikasih uang saku tapi pas istirahat belinya jajanan yg boro sehat kenyang aja engga;ishikawamore;['jujur', 'program', 'makan', 'siang', 'gratis', 'aku', 'setuju', 'sekali', 'anak', 'sd', 'butuh', 'makanan', 'sehat', 'bergizi', 'karena', 'anak', 'dibekelin', 'makan', 'banyaknya', 'dikasih', 'uang', 'saku', 'pas', 'istirahat', 'belinya', 'jajanan', 'jangan', 'sehat', 'kenyang', 'tidak'];13.0;38.0;-25.0;21;30;[('jujur', 4.0), ('makan', 1.0), ('gratis', 4.0), ('aku', 2.0), ('setuju', 4.0), ('sekali', -1.0), ('anak', -3.0), ('butuh', -5.0), ('makanan', 3.0), ('sehat', 4.0), ('karena', -3.0), ('anak', -3.0), ('makan', 1.0), ('banyaknya', 3.0), ('dikasih', 2.0), ('pas', 3.0), ('istirahat', -2.0), ('jangan', -3.0), ('sehat', 4.0), ('kenyang', 3.0), ('tidak', -5.0)];Positif
29;rosiade program konyol makan siang gratis untuk mendapatkan proyek investasi apaan kek gitu kalau memang punya gagasan cukup menstabilkan harga pokok semua warga bisa membeli makan yg sehat menciptakan lapangan kerja semua org mendapatkan uang buat mmbeli kebutuhan yg bergizi;Syafridon8;['rosiade', 'program', 'konyol', 'makan', 'siang', 'gratis', 'proyek', 'investasi', 'seperti', 'gitu', 'gagasan', 'menstabilkan', 'harga', 'pokok', 'warga', 'membeli', 'makan', 'sehat', 'menciptakan', 'lapangan', 'kerja', 'orang', 'uang', 'mmbeli', 'kebutuhan', 'bergizi'];18.0;25.0;-7.0;12;26;[('konyol', -3.0), ('makan', 1.0), ('gratis', 4.0), ('seperti', -1.0), ('harga', 3.0), ('pokok', 3.0), ('membeli', -3.0), ('makan', 1.0), ('sehat', 4.0), ('lapangan', 3.0), ('kerja', 2.0), ('kebutuhan', 4.0)];Positif
30;baru sadar tujuan paslon buat program makan siang gratis yang bergizi untuk anak sekolah itu guna mempersiapkan anak bangsa biar gedenya ga tolol kaya razak ya guys;orangsixpack;['sadar', 'tujuan', 'paslon', 'program', 'makan', 'siang', 'gratis', 'bergizi', 'anak', 'sekolah', 'anak', 'bangsa', 'gedenya', 'bodoh', 'seperti', 'razak', 'teman'];3.0;10.0;-7.0;7;17;[('sadar', 2.0), ('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('sekolah', 3.0), ('anak', -3.0), ('seperti', -1.0)];Positif
31;mereka yang nyaris tidak pernah lapar akan sulit bayangkan dan rasakan kalau seseorang lagi lapar betulan rakyat miskin tentu setuju program makan siang gratis anak sekolah karena negara harus jamin rakyat nya tidak lapar minimal dalam hari ada makan yang bergizi;Gunto_Jaya9;['lapar', 'sulit', 'bayangkan', 'rasakan', 'lapar', 'betulan', 'rakyat', 'miskin', 'setuju', 'program', 'makan', 'siang', 'gratis', 'anak', 'sekolah', 'negara', 'jamin', 'rakyat', 'lapar', 'minimal', 'makan', 'bergizi'];-18.0;13.0;-31.0;12;22;[('lapar', -5.0), ('lapar', -5.0), ('miskin', -5.0), ('setuju', 4.0), ('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('sekolah', 3.0), ('jamin', -5.0), ('lapar', -5.0), ('minimal', -3.0), ('makan', 1.0)];Negatif
32;dumdum agak dongo sih klo pilih yg hanya program demi makan gratis doang klo di teliti program itu bisa jd penghasilan yg uangnya dipakai beli makan siang yg lebih bergizi jd patut di retweet nih;Kata_baba_baim;['dumdum', 'dongo', 'pilih', 'program', 'makan', 'gratis', 'doang', 'teliti', 'program', 'penghasilan', 'uangnya', 'dipakai', 'beli', 'makan', 'siang', 'bergizi', 'patut', 'retweet'];-3.0;7.0;-10.0;7;18;[('pilih', -2.0), ('makan', 1.0), ('gratis', 4.0), ('doang', 1.0), ('beli', -3.0), ('makan', 1.0), ('patut', -5.0)];Negatif
33;program makan amp susu gratis yang konon untuk mengatasi gizi buruk ini program pembodohan secara terstruktural untuk mengatasi gizi buruk buka seluasluasnya akses pekerjaan sehingga semua keluarga ada penghasilan yg cukup untuk ngasi makan yg bergizi keluarganya;ebe_ganzo;['program', 'makan', 'susu', 'gratis', 'konon', 'mengatasi', 'gizi', 'buruk', 'program', 'pembodohan', 'terstruktural', 'mengatasi', 'gizi', 'buruk', 'buka', 'seluasluasnya', 'akses', 'pekerjaan', 'keluarga', 'penghasilan', 'ngasi', 'makan', 'bergizi', 'keluarganya'];4.0;18.0;-14.0;10;24;[('makan', 1.0), ('susu', -4.0), ('gratis', 4.0), ('buruk', -5.0), ('buruk', -5.0), ('buka', 3.0), ('akses', 2.0), ('pekerjaan', 3.0), ('keluarga', 4.0), ('makan', 1.0)];Positif
34;makanya program makan siang bergizi gratis buat anak sekolah itu bagus biar otak juga ternutrisi dan tidak somplak seperti pendukung wan kentut;NKRITetapDiHati;['program', 'makan', 'siang', 'bergizi', 'gratis', 'anak', 'sekolah', 'bagus', 'otak', 'ternutrisi', 'somplak', 'pendukung', 'wan', 'kentut'];-2.0;15.0;-17.0;10;14;[('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('sekolah', 3.0), ('bagus', -4.0), ('otak', 3.0), ('somplak', -4.0), ('pendukung', 4.0), ('wan', -4.0), ('kentut', -2.0)];Negatif
35;program makan bergizi gratis uji coba anggaran rp ribu per porsi ditetapkan;pintasandotco;['program', 'makan', 'bergizi', 'gratis', 'uji', 'coba', 'anggaran', 'rp', 'ribu', 'porsi', 'ditetapkan'];12.0;12.0;0.0;5;11;[('makan', 1.0), ('gratis', 4.0), ('uji', 1.0), ('coba', 2.0), ('porsi', 4.0)];Positif
36;pemerintah memutuskan memangkas anggaran untuk program makan bergizi gratis anak dan ibu hamil dari rp menjadi rp per orang hal itu menurut ekonom tidak akan berdampak signifikan pada perekonomian asumsinya dengan anggaran rp ribu per orang keluarga yang;RadioElshinta;['pemerintah', 'memutuskan', 'memangkas', 'anggaran', 'program', 'makan', 'bergizi', 'gratis', 'anak', 'hamil', 'rp', 'rp', 'orang', 'ekonom', 'berdampak', 'signifikan', 'perekonomian', 'asumsinya', 'anggaran', 'rp', 'ribu', 'orang', 'keluarga'];1.0;9.0;-8.0;5;23;[('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('hamil', -5.0), ('keluarga', 4.0)];Positif
37;hasan nasbi tekankan program makan bergizi gratis anggaran rp per porsi itu cukup lewat news;keuangannews_id;['hasan', 'nasbi', 'tekankan', 'program', 'makan', 'bergizi', 'gratis', 'anggaran', 'rp', 'porsi', 'news'];5.0;9.0;-4.0;4;11;[('hasan', -4.0), ('makan', 1.0), ('gratis', 4.0), ('porsi', 4.0)];Positif
38;melibatkan ibu adalah kunci keberhasilan program makan bergizi gratis;voiceofpkb;['melibatkan', 'kunci', 'keberhasilan', 'program', 'makan', 'bergizi', 'gratis'];8.0;8.0;0.0;3;7;[('kunci', 3.0), ('makan', 1.0), ('gratis', 4.0)];Positif
39;belajar dari brasil dalam program makan bergizi gratis;OposisiCerdas;['belajar', 'brasil', 'program', 'makan', 'bergizi', 'gratis'];8.0;8.0;0.0;3;6;[('belajar', 3.0), ('makan', 1.0), ('gratis', 4.0)];Positif
40;kali ini program makan siang bergizi gratis digelar di sdn gintungkerta kecamatan klari;antmegapolitan;['kali', 'program', 'makan', 'siang', 'bergizi', 'gratis', 'digelar', 'sdn', 'gintungkerta', 'kecamatan', 'klari'];5.0;5.0;0.0;2;11;[('makan', 1.0), ('gratis', 4.0)];Positif
41;dalam rangka memberikan perlidungan dan jaminan sosial kepada penyandang disabilitas kementerian sosial pada tahun telah merencanakan empat program bagi penyandang disabilitas salah satunya program makan bergizi gratis dua kali sehari kepada ribu orang penyandang;RadioElshinta;['rangka', 'perlidungan', 'jaminan', 'sosial', 'penyandang', 'disabilitas', 'kementerian', 'sosial', 'merencanakan', 'program', 'penyandang', 'disabilitas', 'salah', 'satunya', 'program', 'makan', 'bergizi', 'gratis', 'kali', 'sehari', 'ribu', 'orang', 'penyandang'];12.0;16.0;-4.0;6;23;[('sosial', 4.0), ('sosial', 4.0), ('merencanakan', 3.0), ('salah', -4.0), ('makan', 1.0), ('gratis', 4.0)];Positif
42;makan bergizi gratis bukan sekadar program prabowogibran tahu makan bergizi adalah langkah awal melawan stunting tapi gimana caranya agar program ini tepat sasaran yuk bersamasama;ConversationIDN;['makan', 'bergizi', 'gratis', 'program', 'prabowogibran', 'makan', 'bergizi', 'langkah', 'melawan', 'stunting', 'gimana', 'program', 'sasaran', 'ayo', 'bersamasama'];14.0;14.0;0.0;5;15;[('makan', 1.0), ('gratis', 4.0), ('makan', 1.0), ('langkah', 4.0), ('ayo', 4.0)];Positif
43;hari ini kami simulasi program makan bergizi gratis di sdn anggadita  kali ini kami menyiapkan paket makanan untuk dibagikan;antmegapolitan;['simulasi', 'program', 'makan', 'bergizi', 'gratis', 'sdn', 'anggadita', 'kali', 'paket', 'makanan', 'dibagikan'];12.0;12.0;0.0;4;11;[('makan', 1.0), ('gratis', 4.0), ('paket', 4.0), ('makanan', 3.0)];Positif
