,No,full_text,username,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
68,69,polres bireuen gelar program makan bergizi gratis seorang murid bawa pulang untuk adiknya via,serambinews,"['polres', 'bireuen', 'gelar', 'program', 'makan', 'bergizi', 'gratis', 'seorang', 'murid', 'bawa', 'pulang', 'untuk', 'adiknya', 'via']",<FreqDist with 14 samples and 14 outcomes>,"['polres', 'bireuen', 'gelar', 'program', 'makan', 'bergizi', 'gratis', 'murid', 'bawa', 'pulang', 'adiknya', 'via']","['polres', 'bireuen', 'gelar', 'program', 'makan', 'bergizi', 'gratis', 'siswa', 'bawa', 'pulang', 'adiknya', 'via']","['polres', 'bireuen', 'gelar', 'program', 'makan', 'gizi', 'gratis', 'siswa', 'bawa', 'pulang', 'adik', 'via']"
69,70,menkop apresiasi dukungan muslimat nu dalam program makan bergizi gratis,Beritasatu,"['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'dalam', 'program', 'makan', 'bergizi', 'gratis']",<FreqDist with 10 samples and 10 outcomes>,"['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'program', 'makan', 'bergizi', 'gratis']","['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'program', 'makan', 'bergizi', 'gratis']","['menkop', 'apresiasi', 'dukung', 'muslimat', 'nu', 'program', 'makan', 'gizi', 'gratis']"
70,71,menkop apresiasi dukungan muslimat nu dalam program makan bergizi gratis,RadioElshinta,"['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'dalam', 'program', 'makan', 'bergizi', 'gratis']",<FreqDist with 10 samples and 10 outcomes>,"['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'program', 'makan', 'bergizi', 'gratis']","['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'program', 'makan', 'bergizi', 'gratis']","['menkop', 'apresiasi', 'dukung', 'muslimat', 'nu', 'program', 'makan', 'gizi', 'gratis']"
71,72,dukung program makan bergizi gratis induk kud siapkan pengamanan pasokan,SINDOnews,"['dukung', 'program', 'makan', 'bergizi', 'gratis', 'induk', 'kud', 'siapkan', 'pengamanan', 'pasokan']",<FreqDist with 10 samples and 10 outcomes>,"['dukung', 'program', 'makan', 'bergizi', 'gratis', 'induk', 'kud', 'siapkan', 'pengamanan', 'pasokan']","['dukung', 'program', 'makan', 'bergizi', 'gratis', 'induk', 'kud', 'siapkan', 'pengamanan', 'pasokan']","['dukung', 'program', 'makan', 'gizi', 'gratis', 'induk', 'kud', 'siap', 'aman', 'pasok']"
72,73,bank mandiri dukung program makan bergizi gratis dorong pertumbuhan ekonomi kerakyatan yang berkelanjutan,portal_papua,"['bank', 'mandiri', 'dukung', 'program', 'makan', 'bergizi', 'gratis', 'dorong', 'pertumbuhan', 'ekonomi', 'kerakyatan', 'yang', 'berkelanjutan']",<FreqDist with 13 samples and 13 outcomes>,"['bank', 'mandiri', 'dukung', 'program', 'makan', 'bergizi', 'gratis', 'dorong', 'pertumbuhan', 'ekonomi', 'kerakyatan', 'berkelanjutan']","['bank', 'mandiri', 'dukung', 'program', 'makan', 'bergizi', 'gratis', 'dorong', 'pertumbuhan', 'ekonomi', 'kerakyatan', 'berkelanjutan']","['bank', 'mandiri', 'dukung', 'program', 'makan', 'gizi', 'gratis', 'dorong', 'tumbuh', 'ekonomi', 'rakyat', 'lanjut']"
73,74,menteri pendidikan dasar dan menengah mendikdasmen abdul muti menyebut program makan bergizi gratis bisa mengajarkan anakanak agar tidak hidup boros makan siang gratis ini sebagai bagian dari penanaman dan pembiasaan pendidikan karakter bagi anakanak kata abdul muti di,tvOneNews,"['menteri', 'pendidikan', 'dasar', 'dan', 'menengah', 'mendikdasmen', 'abdul', 'muti', 'menyebut', 'program', 'makan', 'bergizi', 'gratis', 'bisa', 'mengajarkan', 'anakanak', 'agar', 'tidak', 'hidup', 'boros', 'makan', 'siang', 'gratis', 'ini', 'sebagai', 'bagian', 'dari', 'penanaman', 'dan', 'pembiasaan', 'pendidikan', 'karakter', 'bagi', 'anakanak', 'kata', 'abdul', 'muti', 'di']",<FreqDist with 31 samples and 38 outcomes>,"['menteri', 'pendidikan', 'dasar', 'menengah', 'mendikdasmen', 'abdul', 'muti', 'menyebut', 'program', 'makan', 'bergizi', 'gratis', 'mengajarkan', 'anakanak', 'hidup', 'boros', 'makan', 'siang', 'gratis', 'penanaman', 'pembiasaan', 'pendidikan', 'karakter', 'anakanak', 'abdul', 'muti']","['menteri', 'pendidikan', 'dasar', 'menengah', 'mendikdasmen', 'abdul', 'muti', 'menyebut', 'program', 'makan', 'bergizi', 'gratis', 'mengajarkan', 'anakanak', 'hidup', 'boros', 'makan', 'siang', 'gratis', 'penanaman', 'pembiasaan', 'pendidikan', 'karakter', 'anakanak', 'abdul', 'muti']","['menteri', 'didik', 'dasar', 'tengah', 'mendikdasmen', 'abdul', 'muti', 'sebut', 'program', 'makan', 'gizi', 'gratis', 'ajar', 'anakanak', 'hidup', 'boros', 'makan', 'siang', 'gratis', 'tanam', 'biasa', 'didik', 'karakter', 'anakanak', 'abdul', 'muti']"
74,75,pemerintah kota pemkot tangerang selatan sudah mulai melakukan uji coba program makan bergizi gratis mbg yang merupakan salah satu program unggulan presiden prabowo subianto sekolah pertama yang dilakukan uji coba makan bergizi gratis yaitu tk negeri pembina di ciputat,abouttng,"['pemerintah', 'kota', 'pemkot', 'tangerang', 'selatan', 'sudah', 'mulai', 'melakukan', 'uji', 'coba', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'yang', 'merupakan', 'salah', 'satu', 'program', 'unggulan', 'presiden', 'prabowo', 'subianto', 'sekolah', 'pertama', 'yang', 'dilakukan', 'uji', 'coba', 'makan', 'bergizi', 'gratis', 'yaitu', 'tk', 'negeri', 'pembina', 'di', 'ciputat']",<FreqDist with 32 samples and 39 outcomes>,"['pemerintah', 'kota', 'pemkot', 'tangerang', 'selatan', 'uji', 'coba', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'salah', 'program', 'unggulan', 'presiden', 'prabowo', 'subianto', 'sekolah', 'uji', 'coba', 'makan', 'bergizi', 'gratis', 'tk', 'negeri', 'pembina', 'ciputat']","['pemerintah', 'kota', 'pemkot', 'tangerang', 'selatan', 'uji', 'coba', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'salah', 'program', 'unggulan', 'presiden', 'prabowo', 'subianto', 'sekolah', 'uji', 'coba', 'makan', 'bergizi', 'gratis', 'tk', 'negeri', 'pembina', 'ciputat']","['perintah', 'kota', 'pemkot', 'tangerang', 'selatan', 'uji', 'coba', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'salah', 'program', 'unggul', 'presiden', 'prabowo', 'subianto', 'sekolah', 'uji', 'coba', 'makan', 'gizi', 'gratis', 'tk', 'negeri', 'bina', 'ciputat']"
75,76,kampung sayur di yogya bakal supply bahan untuk program makan bergizi gratis,republikajogja,"['kampung', 'sayur', 'di', 'yogya', 'bakal', 'supply', 'bahan', 'untuk', 'program', 'makan', 'bergizi', 'gratis']",<FreqDist with 12 samples and 12 outcomes>,"['kampung', 'sayur', 'yogya', 'supply', 'bahan', 'program', 'makan', 'bergizi', 'gratis']","['kampung', 'sayur', 'yogya', 'supply', 'bahan', 'program', 'makan', 'bergizi', 'gratis']","['kampung', 'sayur', 'yogya', 'supply', 'bahan', 'program', 'makan', 'gizi', 'gratis']"
76,77,program makan bergizi gratis akan mulai dilaksanakan pakar ini menyebut pemerintah harus memperhatikan kesesuaian menu dengan keperluan tiap siswa via edu,detikcom,"['program', 'makan', 'bergizi', 'gratis', 'akan', 'mulai', 'dilaksanakan', 'pakar', 'ini', 'menyebut', 'pemerintah', 'harus', 'memperhatikan', 'kesesuaian', 'menu', 'dengan', 'keperluan', 'tiap', 'siswa', 'via', 'edu']",<FreqDist with 21 samples and 21 outcomes>,"['program', 'makan', 'bergizi', 'gratis', 'dilaksanakan', 'pakar', 'menyebut', 'pemerintah', 'memperhatikan', 'kesesuaian', 'menu', 'keperluan', 'siswa', 'via', 'edu']","['program', 'makan', 'bergizi', 'gratis', 'dilaksanakan', 'pakar', 'menyebut', 'pemerintah', 'memperhatikan', 'kesesuaian', 'menu', 'keperluan', 'siswa', 'via', 'edu']","['program', 'makan', 'gizi', 'gratis', 'laksana', 'pakar', 'sebut', 'perintah', 'perhati', 'sesuai', 'menu', 'perlu', 'siswa', 'via', 'edu']"
77,78,istana meninjau kesiapan program makan bergizi gratis di tanah sareal bogor program makan bergizi gratis ini akan diberikan ke siswa di sekolah,detikcom,"['istana', 'meninjau', 'kesiapan', 'program', 'makan', 'bergizi', 'gratis', 'di', 'tanah', 'sareal', 'bogor', 'program', 'makan', 'bergizi', 'gratis', 'ini', 'akan', 'diberikan', 'ke', 'siswa', 'di', 'sekolah']",<FreqDist with 17 samples and 22 outcomes>,"['istana', 'meninjau', 'kesiapan', 'program', 'makan', 'bergizi', 'gratis', 'tanah', 'sareal', 'bogor', 'program', 'makan', 'bergizi', 'gratis', 'siswa', 'sekolah']","['istana', 'meninjau', 'kesiapan', 'program', 'makan', 'bergizi', 'gratis', 'tanah', 'sareal', 'bogor', 'program', 'makan', 'bergizi', 'gratis', 'siswa', 'sekolah']","['istana', 'tinjau', 'kesiap', 'program', 'makan', 'gizi', 'gratis', 'tanah', 'sareal', 'bogor', 'program', 'makan', 'gizi', 'gratis', 'siswa', 'sekolah']"
78,79,bpom ri akan terlibat dalam program makan bergizi gratis yang diprioritaskan presiden prabowo mulai dari rumah produksi hingga distribusi begini perannya,detikcom,"['bpom', 'ri', 'akan', 'terlibat', 'dalam', 'program', 'makan', 'bergizi', 'gratis', 'yang', 'diprioritaskan', 'presiden', 'prabowo', 'mulai', 'dari', 'rumah', 'produksi', 'hingga', 'distribusi', 'begini', 'perannya']",<FreqDist with 21 samples and 21 outcomes>,"['bpom', 'ri', 'terlibat', 'program', 'makan', 'bergizi', 'gratis', 'diprioritaskan', 'presiden', 'prabowo', 'rumah', 'produksi', 'distribusi', 'perannya']","['bpom', 'ri', 'terlibat', 'program', 'makan', 'bergizi', 'gratis', 'diprioritaskan', 'presiden', 'prabowo', 'rumah', 'produksi', 'distribusi', 'perannya']","['bpom', 'ri', 'libat', 'program', 'makan', 'gizi', 'gratis', 'prioritas', 'presiden', 'prabowo', 'rumah', 'produksi', 'distribusi', 'peran']"
79,80,bpom ri akan terlibat dalam program makan bergizi gratis yang diprioritaskan presiden prabowo mulai dari rumah produksi hingga distribusi begini perannya,detikHealth,"['bpom', 'ri', 'akan', 'terlibat', 'dalam', 'program', 'makan', 'bergizi', 'gratis', 'yang', 'diprioritaskan', 'presiden', 'prabowo', 'mulai', 'dari', 'rumah', 'produksi', 'hingga', 'distribusi', 'begini', 'perannya']",<FreqDist with 21 samples and 21 outcomes>,"['bpom', 'ri', 'terlibat', 'program', 'makan', 'bergizi', 'gratis', 'diprioritaskan', 'presiden', 'prabowo', 'rumah', 'produksi', 'distribusi', 'perannya']","['bpom', 'ri', 'terlibat', 'program', 'makan', 'bergizi', 'gratis', 'diprioritaskan', 'presiden', 'prabowo', 'rumah', 'produksi', 'distribusi', 'perannya']","['bpom', 'ri', 'libat', 'program', 'makan', 'gizi', 'gratis', 'prioritas', 'presiden', 'prabowo', 'rumah', 'produksi', 'distribusi', 'peran']"
80,81,presidential communication office pco meninjau uji coba program makan bergizi gratis mbg di sekolah di bogor senin uji coba dilaksanakan di satuan pelayanan pemenuhan gizi sppg tanah sareal,TirtoID,"['presidential', 'communication', 'office', 'pco', 'meninjau', 'uji', 'coba', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'di', 'sekolah', 'di', 'bogor', 'senin', 'uji', 'coba', 'dilaksanakan', 'di', 'satuan', 'pelayanan', 'pemenuhan', 'gizi', 'sppg', 'tanah', 'sareal']",<FreqDist with 24 samples and 28 outcomes>,"['presidential', 'communication', 'office', 'pco', 'meninjau', 'uji', 'coba', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'sekolah', 'bogor', 'senin', 'uji', 'coba', 'dilaksanakan', 'satuan', 'pelayanan', 'pemenuhan', 'gizi', 'sppg', 'tanah', 'sareal']","['presidential', 'communication', 'office', 'pco', 'meninjau', 'uji', 'coba', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'sekolah', 'bogor', 'senin', 'uji', 'coba', 'dilaksanakan', 'satuan', 'pelayanan', 'pemenuhan', 'gizi', 'sppg', 'tanah', 'sareal']","['presidential', 'communication', 'office', 'pco', 'tinjau', 'uji', 'coba', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'sekolah', 'bogor', 'senin', 'uji', 'coba', 'laksana', 'satu', 'layan', 'penuh', 'gizi', 'sppg', 'tanah', 'sareal']"
81,82,wamendes pdt riza patria menginstruksikan jajarannya untuk memastikan pasokan bahan baku terpenuhi untuk program makan bergizi gratis di desa,detikcom,"['wamendes', 'pdt', 'riza', 'patria', 'menginstruksikan', 'jajarannya', 'untuk', 'memastikan', 'pasokan', 'bahan', 'baku', 'terpenuhi', 'untuk', 'program', 'makan', 'bergizi', 'gratis', 'di', 'desa']",<FreqDist with 18 samples and 19 outcomes>,"['wamendes', 'pdt', 'riza', 'patria', 'menginstruksikan', 'jajarannya', 'pasokan', 'bahan', 'baku', 'terpenuhi', 'program', 'makan', 'bergizi', 'gratis', 'desa']","['wamendes', 'pdt', 'riza', 'patria', 'menginstruksikan', 'jajarannya', 'pasokan', 'bahan', 'baku', 'terpenuhi', 'program', 'makan', 'bergizi', 'gratis', 'desa']","['wamendes', 'pdt', 'riza', 'patria', 'instruksi', 'jajar', 'pasok', 'bahan', 'baku', 'penuh', 'program', 'makan', 'gizi', 'gratis', 'desa']"
82,83,simulasi program makan bergizi gratis tak berjalan mulus kualitas menu dipertanyakan banyak pihak,detikcom,"['simulasi', 'program', 'makan', 'bergizi', 'gratis', 'tak', 'berjalan', 'mulus', 'kualitas', 'menu', 'dipertanyakan', 'banyak', 'pihak']",<FreqDist with 13 samples and 13 outcomes>,"['simulasi', 'program', 'makan', 'bergizi', 'gratis', 'berjalan', 'mulus', 'kualitas', 'menu']","['simulasi', 'program', 'makan', 'bergizi', 'gratis', 'berjalan', 'mulus', 'kualitas', 'menu']","['simulasi', 'program', 'makan', 'gizi', 'gratis', 'jalan', 'mulus', 'kualitas', 'menu']"
83,84,teknologi program makan bergizi gratis monitoring realtime dan ai,uzoneindonesia,"['teknologi', 'program', 'makan', 'bergizi', 'gratis', 'monitoring', 'realtime', 'dan', 'ai']",<FreqDist with 9 samples and 9 outcomes>,"['teknologi', 'program', 'makan', 'bergizi', 'gratis', 'monitoring', 'realtime', 'ai']","['teknologi', 'program', 'makan', 'bergizi', 'gratis', 'monitoring', 'realtime', 'ai']","['teknologi', 'program', 'makan', 'gizi', 'gratis', 'monitoring', 'realtime', 'ai']"
84,85,menkop apresiasi dukungan muslimat nu dalam program makan bergizi gratis,pantaucom_,"['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'dalam', 'program', 'makan', 'bergizi', 'gratis']",<FreqDist with 10 samples and 10 outcomes>,"['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'program', 'makan', 'bergizi', 'gratis']","['menkop', 'apresiasi', 'dukungan', 'muslimat', 'nu', 'program', 'makan', 'bergizi', 'gratis']","['menkop', 'apresiasi', 'dukung', 'muslimat', 'nu', 'program', 'makan', 'gizi', 'gratis']"
85,86,menteri kelautan dan perikanan sakti wahyu trenggono mengungkapkan susu ikan menjadi salah satu alternatif dalam program makan bergizi gratis mbg,ANTARABengkulu,"['menteri', 'kelautan', 'dan', 'perikanan', 'sakti', 'wahyu', 'trenggono', 'mengungkapkan', 'susu', 'ikan', 'menjadi', 'salah', 'satu', 'alternatif', 'dalam', 'program', 'makan', 'bergizi', 'gratis', 'mbg']",<FreqDist with 20 samples and 20 outcomes>,"['menteri', 'kelautan', 'perikanan', 'sakti', 'wahyu', 'trenggono', 'susu', 'ikan', 'salah', 'alternatif', 'program', 'makan', 'bergizi', 'gratis', 'mbg']","['menteri', 'kelautan', 'perikanan', 'sakti', 'wahyu', 'trenggono', 'susu', 'ikan', 'salah', 'alternatif', 'program', 'makan', 'bergizi', 'gratis', 'mbg']","['menteri', 'laut', 'ikan', 'sakti', 'wahyu', 'trenggono', 'susu', 'ikan', 'salah', 'alternatif', 'program', 'makan', 'gizi', 'gratis', 'mbg']"
86,87,dana judol di bank dan ewallet capai rp triliun legislator desak sita untuk bantu program makan bergizi gratis,indoposco,"['dana', 'judol', 'di', 'bank', 'dan', 'ewallet', 'capai', 'rp', 'triliun', 'legislator', 'desak', 'sita', 'untuk', 'bantu', 'program', 'makan', 'bergizi', 'gratis']",<FreqDist with 18 samples and 18 outcomes>,"['dana', 'judol', 'bank', 'ewallet', 'capai', 'rp', 'triliun', 'legislator', 'desak', 'sita', 'bantu', 'program', 'makan', 'bergizi', 'gratis']","['dana', 'judol', 'bank', 'ewallet', 'capai', 'rp', 'triliun', 'legislator', 'desak', 'sita', 'bantu', 'program', 'makan', 'bergizi', 'gratis']","['dana', 'judol', 'bank', 'ewallet', 'capai', 'rp', 'triliun', 'legislator', 'desak', 'sita', 'bantu', 'program', 'makan', 'gizi', 'gratis']"
87,88,ketua dpd ri sultan  najamudin meminta pemerintah untuk memastikan suplay bahan pangan terpenuhi secara simultan dan murah sebelum memulai program makan bergizi gratis mbg,DPDRI,"['ketua', 'dpd', 'ri', 'sultan', 'najamudin', 'meminta', 'pemerintah', 'untuk', 'memastikan', 'suplay', 'bahan', 'pangan', 'terpenuhi', 'secara', 'simultan', 'dan', 'murah', 'sebelum', 'memulai', 'program', 'makan', 'bergizi', 'gratis', 'mbg']",<FreqDist with 24 samples and 24 outcomes>,"['ketua', 'dpd', 'ri', 'sultan', 'najamudin', 'pemerintah', 'suplay', 'bahan', 'pangan', 'terpenuhi', 'simultan', 'murah', 'program', 'makan', 'bergizi', 'gratis', 'mbg']","['ketua', 'dpd', 'ri', 'sultan', 'najamudin', 'pemerintah', 'suplay', 'bahan', 'pangan', 'terpenuhi', 'simultan', 'murah', 'program', 'makan', 'bergizi', 'gratis', 'mbg']","['ketua', 'dpd', 'ri', 'sultan', 'najamudin', 'perintah', 'suplay', 'bahan', 'pangan', 'penuh', 'simultan', 'murah', 'program', 'makan', 'gizi', 'gratis', 'mbg']"
88,89,bank mandiri genjot kur untuk sektor pangan dukung ekonomi kerakyatan dan program makan bergizi gratis link artikel,VIVAcoid,"['bank', 'mandiri', 'genjot', 'kur', 'untuk', 'sektor', 'pangan', 'dukung', 'ekonomi', 'kerakyatan', 'dan', 'program', 'makan', 'bergizi', 'gratis', 'link', 'artikel']",<FreqDist with 17 samples and 17 outcomes>,"['bank', 'mandiri', 'genjot', 'kur', 'sektor', 'pangan', 'dukung', 'ekonomi', 'kerakyatan', 'program', 'makan', 'bergizi', 'gratis', 'link', 'artikel']","['bank', 'mandiri', 'genjot', 'kur', 'sektor', 'pangan', 'dukung', 'ekonomi', 'kerakyatan', 'program', 'makan', 'bergizi', 'gratis', 'link', 'artikel']","['bank', 'mandiri', 'genjot', 'kur', 'sektor', 'pangan', 'dukung', 'ekonomi', 'rakyat', 'program', 'makan', 'gizi', 'gratis', 'link', 'artikel']"
89,90,rakor dan bimtek peknas pada tanggal desember di jakarta terkait program makan bergizi gratis mbg acara dihadiri oleh para pengurus dpp dpw dan dpc peknas seluruh indonesia serta badan gizi nasional bgn para vendor dan investor mbg,Urusan_Rasa,"['rakor', 'dan', 'bimtek', 'peknas', 'pada', 'tanggal', 'desember', 'di', 'jakarta', 'terkait', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'acara', 'dihadiri', 'oleh', 'para', 'pengurus', 'dpp', 'dpw', 'dan', 'dpc', 'peknas', 'seluruh', 'indonesia', 'serta', 'badan', 'gizi', 'nasional', 'bgn', 'para', 'vendor', 'dan', 'investor', 'mbg']",<FreqDist with 32 samples and 37 outcomes>,"['rakor', 'bimtek', 'peknas', 'tanggal', 'desember', 'jakarta', 'terkait', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'acara', 'dihadiri', 'pengurus', 'dpp', 'dpw', 'dpc', 'peknas', 'indonesia', 'badan', 'gizi', 'nasional', 'bgn', 'vendor', 'investor', 'mbg']","['rakor', 'bimtek', 'peknas', 'tanggal', 'desember', 'jakarta', 'terkait', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'acara', 'dihadiri', 'pengurus', 'dpp', 'dpw', 'dpc', 'peknas', 'indonesia', 'badan', 'gizi', 'nasional', 'bgn', 'vendor', 'investor', 'mbg']","['rakor', 'bimtek', 'peknas', 'tanggal', 'desember', 'jakarta', 'kait', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'acara', 'hadir', 'urus', 'dpp', 'dpw', 'dpc', 'peknas', 'indonesia', 'badan', 'gizi', 'nasional', 'bgn', 'vendor', 'investor', 'mbg']"
90,91,program makan siang bergizi gratis masih menjadi highlight dari pembicaraan warga indonesia yuk simak pembahasan selengkapnya di,tvOneNews,"['program', 'makan', 'siang', 'bergizi', 'gratis', 'masih', 'menjadi', 'highlight', 'dari', 'pembicaraan', 'warga', 'indonesia', 'yuk', 'simak', 'pembahasan', 'selengkapnya', 'di']",<FreqDist with 17 samples and 17 outcomes>,"['program', 'makan', 'siang', 'bergizi', 'gratis', 'highlight', 'pembicaraan', 'warga', 'indonesia', 'yuk', 'simak', 'pembahasan', 'selengkapnya']","['program', 'makan', 'siang', 'bergizi', 'gratis', 'highlight', 'pembicaraan', 'warga', 'indonesia', 'ayo', 'simak', 'pembahasan', 'selengkapnya']","['program', 'makan', 'siang', 'gizi', 'gratis', 'highlight', 'bicara', 'warga', 'indonesia', 'ayo', 'simak', 'bahas', 'lengkap']"
91,92,prabowo sebut program makan bergizi gratis bisa putar roda ekonomi desa,officialinews_,"['prabowo', 'sebut', 'program', 'makan', 'bergizi', 'gratis', 'bisa', 'putar', 'roda', 'ekonomi', 'desa']",<FreqDist with 11 samples and 11 outcomes>,"['prabowo', 'program', 'makan', 'bergizi', 'gratis', 'putar', 'roda', 'ekonomi', 'desa']","['prabowo', 'program', 'makan', 'bergizi', 'gratis', 'putar', 'roda', 'ekonomi', 'desa']","['prabowo', 'program', 'makan', 'gizi', 'gratis', 'putar', 'roda', 'ekonomi', 'desa']"
92,93,edan program makan bergizi gratis mbg ini lama tak hanya anggaran perporsinya makin mengecil tapi alokasi anggarannya yg rp triliun pun akan hilang lenyap tdk jelas sebagian besar hati lho pak pres ini anak buah bapak yg tak pinter math atau sedang mbujuk,ferrykoto,"['edan', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'ini', 'lama', 'tak', 'hanya', 'anggaran', 'perporsinya', 'makin', 'mengecil', 'tapi', 'alokasi', 'anggarannya', 'yg', 'rp', 'triliun', 'pun', 'akan', 'hilang', 'lenyap', 'tdk', 'jelas', 'sebagian', 'besar', 'hati', 'lho', 'pak', 'pres', 'ini', 'anak', 'buah', 'bapak', 'yg', 'tak', 'pinter', 'math', 'atau', 'sedang', 'mbujuk']",<FreqDist with 40 samples and 43 outcomes>,"['edan', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'anggaran', 'perporsinya', 'mengecil', 'alokasi', 'anggarannya', 'rp', 'triliun', 'hilang', 'lenyap', 'hati', 'lho', 'pres', 'anak', 'buah', 'pinter', 'math', 'mbujuk']","['edan', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'anggaran', 'perporsinya', 'mengecil', 'alokasi', 'anggarannya', 'rp', 'triliun', 'hilang', 'lenyap', 'hati', 'lho', 'pres', 'anak', 'buah', 'pintar', 'matematika', 'mbujuk']","['edan', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'anggar', 'porsi', 'kecil', 'alokasi', 'anggar', 'rp', 'triliun', 'hilang', 'lenyap', 'hati', 'lho', 'pres', 'anak', 'buah', 'pintar', 'matematika', 'mbujuk']"
93,94,prabowo janji program makan bergizi gratis akan berdayakan ekonomi pedesaan,fajaronline,"['prabowo', 'janji', 'program', 'makan', 'bergizi', 'gratis', 'akan', 'berdayakan', 'ekonomi', 'pedesaan']",<FreqDist with 10 samples and 10 outcomes>,"['prabowo', 'janji', 'program', 'makan', 'bergizi', 'gratis', 'berdayakan', 'ekonomi', 'pedesaan']","['prabowo', 'janji', 'program', 'makan', 'bergizi', 'gratis', 'berdayakan', 'ekonomi', 'pedesaan']","['prabowo', 'janji', 'program', 'makan', 'gizi', 'gratis', 'daya', 'ekonomi', 'desa']"
94,95,menteri keuangan mengatakan alokasi pada tahun sebesar rp triliun akan dialokasikan untuk mendukung program prioritas pembangunan yaitu swasembada pangan pendidikan dan kesehatan hingga program makan siang bergizi gratis,Metro_TV,"['menteri', 'keuangan', 'mengatakan', 'alokasi', 'pada', 'tahun', 'sebesar', 'rp', 'triliun', 'akan', 'dialokasikan', 'untuk', 'mendukung', 'program', 'prioritas', 'pembangunan', 'yaitu', 'swasembada', 'pangan', 'pendidikan', 'dan', 'kesehatan', 'hingga', 'program', 'makan', 'siang', 'bergizi', 'gratis']",<FreqDist with 27 samples and 28 outcomes>,"['menteri', 'keuangan', 'alokasi', 'rp', 'triliun', 'dialokasikan', 'mendukung', 'program', 'prioritas', 'pembangunan', 'swasembada', 'pangan', 'pendidikan', 'kesehatan', 'program', 'makan', 'siang', 'bergizi', 'gratis']","['menteri', 'keuangan', 'alokasi', 'rp', 'triliun', 'dialokasikan', 'mendukung', 'program', 'prioritas', 'pembangunan', 'swasembada', 'pangan', 'pendidikan', 'kesehatan', 'program', 'makan', 'siang', 'bergizi', 'gratis']","['menteri', 'uang', 'alokasi', 'rp', 'triliun', 'alokasi', 'dukung', 'program', 'prioritas', 'bangun', 'swasembada', 'pangan', 'didik', 'sehat', 'program', 'makan', 'siang', 'gizi', 'gratis']"
95,96,presiden prabowo sebut program makan bergizi gratis perkuat ekonomi desa presiden prabowo subianto menegaskan komitmen pemerintah untuk memperkuat ekonomi pedesaan melalui implementasi program makan bergizi gratis mbg pernyataan ini disampaikan prabowo dalam acara penyerahan,akuratco,"['presiden', 'prabowo', 'sebut', 'program', 'makan', 'bergizi', 'gratis', 'perkuat', 'ekonomi', 'desa', 'presiden', 'prabowo', 'subianto', 'menegaskan', 'komitmen', 'pemerintah', 'untuk', 'memperkuat', 'ekonomi', 'pedesaan', 'melalui', 'implementasi', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'pernyataan', 'ini', 'disampaikan', 'prabowo', 'dalam', 'acara', 'penyerahan']",<FreqDist with 26 samples and 34 outcomes>,"['presiden', 'prabowo', 'program', 'makan', 'bergizi', 'gratis', 'perkuat', 'ekonomi', 'desa', 'presiden', 'prabowo', 'subianto', 'komitmen', 'pemerintah', 'memperkuat', 'ekonomi', 'pedesaan', 'implementasi', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'pernyataan', 'prabowo', 'acara', 'penyerahan']","['presiden', 'prabowo', 'program', 'makan', 'bergizi', 'gratis', 'perkuat', 'ekonomi', 'desa', 'presiden', 'prabowo', 'subianto', 'komitmen', 'pemerintah', 'memperkuat', 'ekonomi', 'pedesaan', 'implementasi', 'program', 'makan', 'bergizi', 'gratis', 'mbg', 'pernyataan', 'prabowo', 'acara', 'penyerahan']","['presiden', 'prabowo', 'program', 'makan', 'gizi', 'gratis', 'kuat', 'ekonomi', 'desa', 'presiden', 'prabowo', 'subianto', 'komitmen', 'perintah', 'kuat', 'ekonomi', 'desa', 'implementasi', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'nyata', 'prabowo', 'acara', 'serah']"
